"rule_id","var_a","standard"
"CG0040","AEOCCUR","SDTM-IG"
"CG0044","AESTAT","SDTM-IG"
"CG0053","--REASND","SDTM-IG"
"CG0056","--STAT","SDTM-IG"
"CG0084","--TOX","SDTM-IG"
"CG0088","--OCCUR","SDTM-IG"
"CG0093","--TPTREF","SDTM-IG"
"CG0095","--LAT","SDTM-IG"
"CG0105","EXVAMT","SDTM-IG"
"CG0107","EXVAMTU","SDTM-IG"
"CG0115","--PORTOT","SDTM-IG"
"CG0116","--DIR","SDTM-IG"
"CG0299","TRLOC","SDTM-IG"
"CG0300","TRLAT","SDTM-IG"
"CG0301","TRDIR","SDTM-IG"
"CG0302","TRPORTOT","SDTM-IG"
"CG0304","AEREASND","SDTM-IG"
"CG0352","--DTHREL","SDTM-IG"
"CG0353","--EXCLFL","SDTM-IG"
"CG0354","--REASEX","SDTM-IG"
"CG0355","--DETECT","SDTM-IG"
"CG0356","SPECIES","SDTM-IG"
"CG0357","STRAIN","SDTM-IG"
"CG0358","SBSTRAIN","SDTM-IG"
"CG0507","--USCHFL","SDTM-IG"
"CG0508","--IMPLBL","SDTM-IG"
"CG0509","FETUSID","SDTM-IG"
"CG0510","--NOMDY","SDTM-IG"
"CG0511","--NOMLBL","SDTM-IG"
"CG0533","RPATHCD","SDTM-IG"
"CG0542","--BEATNO","SDTM-IG"
"CG0552","--RESLOC","SDTM-IG"
"CG0564","--AGENT","SDTM-IG"
"CG0565","--CONC","SDTM-IG"
"CG0566","--CONCU","SDTM-IG"
"CG0567","--EVDTYP","SDTM-IG"
"CG0568","EXMETHOD","SDTM-IG"
"CG0621","--METHOD","SDTM-IG"
"CG0622","--USCHFL","SDTM-IG"
"CG0623","--RSTIND","SDTM-IG"
"CG0624","--RSTMOD","SDTM-IG"
"CG0625","--IMPBL","SDTM-IG"
"CG0626","--RESLOC","SDTM-IG"
"CG0627","--DTHREL","SDTM-IG"
"CG0628","--EXCLFL","SDTM-IG"
"CG0629","--REASEX","SDTM-IG"
"CG0630","FETUSID","SDTM-IG"
"CG0631","RPHASE","SDTM-IG"
"CG0632","RPPLDY","SDTM-IG"
"CG0633","RPPLSTDY","SDTM-IG"
"CG0634","RPLENDY","SDTM-IG"
"CG0635","--NOMDY","SDTM-IG"
"CG0636","--NOMLBL","SDTM-IG"
"CG0637","--NOMLBL","SDTM-IG"
"CG0638","--RPSTDY","SDTM-IG"
"CG0639","--RPENDY","SDTM-IG"
"CG0640","--DETECT","SDTM-IG"
"CG0641","AGETXT","SDTM-IG"
"CG0642","SPECIES","SDTM-IG"
"CG0643","STRAIN","SDTM-IG"
"CG0644","SBSTRAIN","SDTM-IG"
"CG0659","--EVAL","SDTM-IG"
"CG0660","--EVALID","SDTM-IG"
