"rule_id","message","standard"
"113","ARELTMU is present and ARELTM is not present","ADaM-IG"
"163","BTOXGR is present and ATOXGR is not present","ADaM-IG"
"164","BTOXGR is present and ABLFL is not present","ADaM-IG"
"166","BNRIND is present and ANRIND is not present","ADaM-IG"
"167","BNRIND is present and ABLFL is not present","ADaM-IG"
"201","TRTAGyN is present and TRTAGy is not present","ADaM-IG"
"499","ASPER is present and APERIOD is not present","ADaM-IG"
"522","BTOXGRN is present and BTOXGR is not present","ADaM-IG"
"523","ATOXGRLN is present and ATOXGRL is not present","ADaM-IG"
"524","ATOXGRHN is present and ATOXGRH is not present","ADaM-IG"
"525","ABLFN is present and ABLFL is not present","ADaM-IG"
"527","TRTSEQPN is present and TRTSEQP is not present","ADaM-IG"
"528","TRTSEQAN is present and TRTSEQA is not present","ADaM-IG"
"529","AESEVN is present and AESEV is not present","ADaM-IG"
"530","ASEVN is present and ASEV is not present","ADaM-IG"
"532","AERELN is present and AEREL is not present","ADaM-IG"
"533","ARELN is present and AREL is not present","ADaM-IG"
"535","AETOXGRN is present and AETOXGR is not present","ADaM-IG"
"536","ATOXGRN is present and ATOXGR is not present","ADaM-IG"
"539","APERIODC is present and APERIOD is not present","ADaM-IG"
"540","APHASEN is present and APHASE is not present","ADaM-IG"
"541","ASPERC is present and ASPER is not present","ADaM-IG"
"542","ATPTN is present and ATPT is not present","ADaM-IG"
"548","AVISITN is present and AVISIT is not present","ADaM-IG"
"549","BTOXGRHN is present and BTOXGRH is not present","ADaM-IG"
"550","BTOXGRLN is present and BTOXGRL is not present","ADaM-IG"
"551","DTHCAUSN is present and DTHCAUS is not present","ADaM-IG"
"555","TRTAN is present and TRTA is not present","ADaM-IG"
"556","TRTPN is present and TRTP is not present","ADaM-IG"
"559","TRCMPGyN is present and TRCMPGy is not present","ADaM-IG"
"560","STRATARN is present and STRATAR is not present","ADaM-IG"
"562","STRATAVN is present and STRATAV is not present","ADaM-IG"
"568","ONTRTFN is present and ONTRTFL is not present","ADaM-IG"
"569","LVOTFN is present and LVOTFL is not present","ADaM-IG"
"64","TRTxxAN is present and TRTxxA is not present","ADaM-IG"
"665","COHORTN is present and COHORT is not present","ADaM-IG"
"670","ACYCLEC is present and ACYCLE is not present","ADaM-IG"
"75","TRTxxPN is present and TRTxxP is not present","ADaM-IG"
"799","PROJIDN is present and PROJID is not present","ADaM-IG"
"80","TRTxxA is present and TRTxxP is not present","ADaM-IG"
"804","STUDYIDN is present and STUDYID is not present","ADaM-IG"
"809","SUBJTYPC is present and SUBJTYP is not present","ADaM-IG"
"814","USUBJIDN is present and USUBJID is not present","ADaM-IG"
"819","SUBJIDN is present and SUBJID is not present","ADaM-IG"
"824","SITEIDN is present and SITEID is not present","ADaM-IG"
"829","FLGREASC is present and FLGREAS is not present","ADaM-IG"
"834","DVIDN is present and DVID is not present","ADaM-IG"
"839","BLQFN is present and BLQFL is not present","ADaM-IG"
"844","ALQFN is present and ALQFL is not present","ADaM-IG"
"849","FORMN is present and FORM is not present","ADaM-IG"
"854","ROUTEN is present and ROUTE is not present","ADaM-IG"
"859","ACYCLEC is present and ACYCLE is not present","ADaM-IG"
"864","COHORTC is present and COHORT is not present","ADaM-IG"
"869","RACEN is present and RACE is not present","ADaM-IG"
"874","SEXN is present and SEX is not present","ADaM-IG"
"879","COUNTRYN is present and COUNTRY is not present","ADaM-IG"
"884","COUNTRYL is present and COUNTRY is not present","ADaM-IG"
"97","TRTPGyN is present and TRTPGy is not present","ADaM-IG"
