"rule_id","var_a","standard"
"CG0007","--DY","SDTM-IG"
"CG0008","--ELTM","SDTM-IG"
"CG0026","--RFTDTC","SDTM-IG"
"CG0073","EPOCH","SDTM-IG"
"CG0087","--OCCUR","SDTM-IG"
"CG0106","--VAMT","SDTM-IG"
"CG0108","--VAMTU","SDTM-IG"
"CG0110","--DOSE","SDTM-IG"
"CG0111","--DOSTXT","SDTM-IG"
"CG0141","RFENDTC","SDTM-IG"
"CG0145","RFSTDTC","SDTM-IG"
"CG0152","ELEMENT","SDTM-IG"
"CG0159","RSUBJID","SDTM-IG"
"CG0164","IDVAR","SDTM-IG"
"CG0168","CODTC","SDTM-IG"
"CG0180","LBORNRLO","SDTM-IG"
"CG0181","LBORNRHI","SDTM-IG"
"CG0182","LBSTNRLO","SDTM-IG"
"CG0183","LBSTNRHI","SDTM-IG"
"CG0184","LBSTNRC","SDTM-IG"
"CG0206","TAETORD","SDTM-IG"
"CG0216","VISITDY","SDTM-IG"
"CG0221","--STDY","SDTM-IG"
"CG0223","--ENDY","SDTM-IG"
"CG0225","VISITDY","SDTM-IG"
"CG0226","--STRF","SDTM-IG"
"CG0227","--ENRF","SDTM-IG"
"CG0249","TATRANS","SDTM-IG"
"CG0260","TSVALNF","SDTM-IG"
"CG0295","ARMCD","SDTM-IG"
"CG0296","ARM","SDTM-IG"
"CG0361","POOLID","SDTM-IG"
"CG0362","USUBJID","SDTM-IG"
"CG0365","RDEVID","SDTM-IG"
"CG0366","RSUBJID","SDTM-IG"
"CG0419","RELTYPE","SDTM-IG"
"CG0420","--STRF","SDTM-IG"
"CG0421","--ENRF","SDTM-IG"
"CG0422","--STAT","SDTM-IG"
"CG0459","TSVALNF","SDTM-IG"
"CG0465","IDVARVAL","SDTM-IG"
"CG0520","ARMNRS","SDTM-IG"
"CG0521","ARM","SDTM-IG"
"CG0522","ACTARM","SDTM-IG"
"CG0523","ARMCD","SDTM-IG"
"CG0524","ACTARMCD","SDTM-IG"
"CG0530","RFENDTC","SDTM-IG"
"CG0534","RFSTDTC","SDTM-IG"
"CG0561","PESTRESC","SDTM-IG"
"CG0649","TSVALNF","SDTM-IG"
"CG0658","VISITDY","SDTM-IG"
