"rule_id","var_a","standard"
"CG0045","--ENRTPT","SDTM-IG"
"CG0046","--ENTPT","SDTM-IG"
"CG0047","--MODIFY","SDTM-IG"
"CG0050","--DECOD","SDTM-IG"
"CG0059","--STRTPT","SDTM-IG"
"CG0061","--STTPT","SDTM-IG"
"CG0063","EPOCH","SDTM-IG"
"CG0082","--BDSYCD","SDTM-IG"
"CG0086","--OCCUR","SDTM-IG"
"CG0096","CMDECOD","SDTM-IG"
"CG0099","--MODIFY","SDTM-IG"
"CG0114","--DOSU","SDTM-IG"
"CG0142","RFENDTC","SDTM-IG"
"CG0146","RFSTDTC","SDTM-IG"
"CG0163","IDVAR","SDTM-IG"
"CG0166","RDOMAIN","SDTM-IG"
"CG0193","MBRESCAT","SDTM-IG"
"CG0202","QEVAL","SDTM-IG"
"CG0203","IDVAR","SDTM-IG"
"CG0204","IDVARVAL","SDTM-IG"
"CG0208","SESTDTC","SDTM-IG"
"CG0209","SEENDTC","SDTM-IG"
"CG0251","TABRANCH","SDTM-IG"
"CG0252","TATRANS","SDTM-IG"
"CG0253","TIVERS","SDTM-IG"
"CG0259","TSVALNF","SDTM-IG"
"CG0261","TSVAL","SDTM-IG"
"CG0266","TSVCDREF","SDTM-IG"
"CG0267","TSVCDVER","SDTM-IG"
"CG0273","TSVAL","SDTM-IG"
"CG0275","TSVAL","SDTM-IG"
"CG0276","TSVAL","SDTM-IG"
"CG0277","TSVAL","SDTM-IG"
"CG0278","TSVAL","SDTM-IG"
"CG0279","TSVAL","SDTM-IG"
"CG0328","TEENRL","SDTM-IG"
"CG0329","TEDUR","SDTM-IG"
"CG0348","--ORRES","SDTM-IG"
"CG0397","--STRESC","SDTM-IG"
"CG0423","--TRTV","SDTM-IG"
"CG0425","--STRESU","SDTM-IG"
"CG0427","--STRESC","SDTM-IG"
"CG0428","--TOXGR","SDTM-IG"
"CG0429","--CAT","SDTM-IG"
"CG0432","AGEU","SDTM-IG"
"CG0433","AGE","SDTM-IG"
"CG0434","AGETXT","SDTM-IG"
"CG0441","TSVAL","SDTM-IG"
"CG0462","ECDOSTXT","SDTM-IG"
"CG0529","RFENDTC","SDTM-IG"
"CG0532","RFSTDTC","SDTM-IG"
"CG0547","SMSTDTC","SDTM-IG"
"CG0549","--STREFC","SDTM-IG"
"CG0550","--STREFN","SDTM-IG"
"CG0553","--ORRES","SDTM-IG"
"CG0569","--STRESC","SDTM-IG"
"CG0665","AGEU","SDTM-IG"
"CG0666","AGE","SDTM-IG"
