"rule_id","authority","standard","ig_version","severity","message","pattern","check_tree_preview","status","converted_at","p21_primitive","notes"
"10","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","A variable with a suffix of FL is equal to Y and a variable with the same root and a suffix of FN is not equal to 1",NA,NA,"narrative",NA,NA,NA
"11","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","A variable with a suffix of FL is equal to N and a variable with the same root and a suffix of FN is not equal to 0",NA,NA,"narrative",NA,NA,NA
"12","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","A variable with a suffix of FL is equal to null and a variable with the same root and a suffix of FN is not equal to null",NA,NA,"narrative",NA,NA,NA
"121","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","The value of a variable with a suffix of SDT is greater than the value of a variable with the same root and a suffix of EDT, considering only rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"122","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","The value of a variable with a suffix of SDTM is greater than the value of a variable with the same root and a suffix of EDTM, considering only rows on which both variables are populated",NA,NA,"narrative",NA,NA,NA
"127","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","Within a given value of PARAMCD for a subject, BASE is populated and there is not at least one record with ABLFL equal to Y",NA,NA,"narrative",NA,NA,NA
"128","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","Within a given value of PARAMCD for a subject, BASEC is populated and there is not at least one record with ABLFL equal to Y",NA,NA,"narrative",NA,NA,NA
"131","CDISC","ADaM-IG","1.0,1.2","Medium","Within a given value of PARAMCD, BASETYPE is populated for at least one record and is not populated for at least one record",NA,NA,"narrative",NA,NA,NA
"132","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","R2BASE is not equal to AVAL divided by BASE",NA,NA,"narrative",NA,NA,NA
"133","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","R2AyLO is not equal to AVAL divided by AyLO",NA,NA,"narrative",NA,NA,NA
"134","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","R2AyHI is not equal to AVAL divided by AyHI",NA,NA,"narrative",NA,NA,NA
"137","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","CRITyFL is populated and CRITy is not populated",NA,NA,"narrative",NA,NA,NA
"14","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","A variable name does not start with a letter (A-Z)",NA,NA,"narrative",NA,NA,NA
"148","CDISC","ADaM-IG","1.0","Medium","PARAMN is not an integer",NA,NA,"narrative",NA,NA,NA
"15","CDISC","ADaM-IG","1.0,1.1,1.2,1.3","Medium","A variable name contains a character other than letters (A-Z), underscores (_), or numerals (0-9)",NA,NA,"narrative",NA,NA,NA
