"rule_id","reason","ds","ops","detail"
"1","neither-fires","ADSL","not_exists","ds=ADSL class=SUBJECT LEVEL ANALYSIS DATASET firstcols=ADSL"
"102","both-fire","ADSL","any_index_missing_ref_var","ds=ADSL class=NA firstcols=APERIOD"
"103","both-fire","ADSL","any_index_missing_ref_var","ds=ADSL class=NA firstcols=APERIOD"
"104","both-fire","ADSL","any_index_missing_ref_var","ds=ADSL class=NA firstcols=APERIOD"
"152","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"165","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"168","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"181","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"182","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"183","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"231","neither-fires","ADSL","is_not_unique_relationship","ds=ADSL class=SUBJECT LEVEL ANALYSIS DATASET firstcols=TRT01P,TR01PG1"
"234","neither-fires","ADSL","is_not_unique_relationship","ds=ADSL class=SUBJECT LEVEL ANALYSIS DATASET firstcols=TRT01A,TR01AG1"
"354","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"494","neither-fires","ADVS","is_contained_by","ds=ADVS class=BASIC DATA STRUCTURE firstcols=ABLFL"
"503","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"504","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"505","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"506","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"507","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"508","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"509","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"510","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"511","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"512","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"513","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"514","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"515","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"516","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"517","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"518","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"519","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"520","leaf-not-seedable","ADSL","label_by_suffix_missing","op=label_by_suffix_missing"
"641","neither-fires","ADAE","exists,not_exists","ds=ADAE class=OCCURRENCE DATA STRUCTURE firstcols=_placeholder_,AESTDY"
"642","neither-fires","ADAE","exists,not_exists","ds=ADAE class=OCCURRENCE DATA STRUCTURE firstcols=_placeholder_,AEENDY"
"643","neither-fires","ADAE","exists,not_exists","ds=ADAE class=OCCURRENCE DATA STRUCTURE firstcols=_placeholder_,AEDUR"
"644","neither-fires","ADAE","exists,not_exists","ds=ADAE class=OCCURRENCE DATA STRUCTURE firstcols=_placeholder_,AESEV"
"645","neither-fires","ADAE","exists,not_exists","ds=ADAE class=OCCURRENCE DATA STRUCTURE firstcols=_placeholder_,AETOXGR"
"698","leaf-not-seedable","ADSL","base_not_equal_abl_row","op=base_not_equal_abl_row"
"699","leaf-not-seedable","ADSL","base_not_equal_abl_row","op=base_not_equal_abl_row"
"703","leaf-not-seedable","ADSL","base_not_equal_abl_row","op=base_not_equal_abl_row"
"744","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"745","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"756","neither-fires","ADSL","is_not_unique_relationship","ds=ADSL class=SUBJECT LEVEL ANALYSIS DATASET firstcols=TRT01P,TR01PG1"
"759","neither-fires","ADSL","is_not_unique_relationship","ds=ADSL class=SUBJECT LEVEL ANALYSIS DATASET firstcols=TRT01A,TR01AG1"
"789","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"790","leaf-not-seedable","ADVS","base_not_equal_abl_row","op=base_not_equal_abl_row"
"CG0001","neither-fires","DM","value_in_codelist","ds=DM class=NA firstcols=DOMAIN"
"CG0006","leaf-not-seedable","DM","non_empty,is_complete_date,is_complete_date,not_equal_to","op=not_equal_to"
"CG0013","leaf-not-seedable","DM","is_not_contained_by","op=is_not_contained_by"
"CG0014","leaf-not-seedable","DM","not_contains_all","op=not_contains_all"
"CG0016","leaf-not-seedable","DM","not_contains_all","op=not_contains_all"
"CG0017","leaf-not-seedable","DM","dataset_name_length_not_in_range","op=dataset_name_length_not_in_range"
"CG0018","leaf-not-seedable","DM","dataset_name_length_not_in_range","op=dataset_name_length_not_in_range"
"CG0028","neither-fires","DM","exists,non_empty,is_not_unique_set,exists,non_empty,is_not_unique_set","ds=DM class=NA firstcols=_placeholder_,USUBJID,DMSEQ,POOLID"
"CG0029","neither-fires","DM","is_not_contained_by","ds=DM class=NA firstcols=USUBJID"
"CG0032","neither-fires","DM","differs_by_key","ds=DM class=NA firstcols=VISITDY,[STUDYID, VISITNUM]"
"CG0078","leaf-not-seedable","MH","non_empty,date_greater_than_or_equal_to","op=date_greater_than_or_equal_to"
"CG0143","leaf-not-seedable","DM","contains,date_not_equal_to,equal_to","op=date_not_equal_to"
"CG0147","leaf-not-seedable","DM","is_contained_by,not_equal_to,not_equal_to","op=not_equal_to"
"CG0148","leaf-not-seedable","DM","is_contained_by,not_equal_to","op=not_equal_to"
"CG0157","neither-fires","DM","missing_in_ref","ds=DM class=AP firstcols=RSUBJID"
"CG0172","leaf-not-seedable","SS","equal_to,date_less_than","op=date_less_than"
"CG0201","leaf-not-seedable","RELREC","empty,empty,matches_regex","op=matches_regex"
"CG0202","neither-fires","DM","empty","ds=DM class=SPC firstcols=QEVAL"
"CG0203","neither-fires","DM","empty","ds=DM class=SPC firstcols=IDVAR"
"CG0204","neither-fires","DM","empty","ds=DM class=SPC firstcols=IDVARVAL"
"CG0205","leaf-not-seedable","DM","dataset_name_length_not_in_range","op=dataset_name_length_not_in_range"
"CG0214","leaf-not-seedable","SV","non_empty,is_contained_by","op=is_contained_by"
"CG0218","neither-fires","SV","differs_by_key","ds=SV class=SPC firstcols=EPOCH,[USUBJID, ETCD]"
"CG0241","leaf-not-seedable","DM","non_empty,non_empty,non_empty,is_inconsistent_across_dataset","op=is_inconsistent_across_dataset"
"CG0244","neither-fires","TA","is_contained_by","ds=TA class=TDM firstcols=ARM"
"CG0247","neither-fires","TA","is_not_unique_set","ds=TA class=TDM firstcols=TAETORD"
